building_id,number_of_timestamps,number_of_observations,start,end,expected_hours,percentage_missing,meter_coverage,weather_coverage,site_id,primary_use,floor_area
Bear_assembly_Angel,17544,14435,2016-01-01,2017-12-31 23:00:00,17544.0,17.721158230734158,0.8227884176926584,0.9998860009119928,Bear,Entertainment/public assembly,22117.0
Bear_assembly_Beatrice,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Entertainment/public assembly,2802.0
Bear_assembly_Danial,17544,12187,2016-01-01,2017-12-31 23:00:00,17544.0,30.534655722754223,0.6946534427724578,0.9998860009119928,Bear,Entertainment/public assembly,7680.3
Bear_assembly_Diana,17544,15278,2016-01-01,2017-12-31 23:00:00,17544.0,12.91609667122663,0.8708390332877337,0.9998860009119928,Bear,Entertainment/public assembly,121.2
Bear_assembly_Genia,17544,17377,2016-01-01,2017-12-31 23:00:00,17544.0,0.9518923848609195,0.9904810761513908,0.9998860009119928,Bear,Entertainment/public assembly,24256.1
Bear_assembly_Harry,17544,11426,2016-01-01,2017-12-31 23:00:00,17544.0,34.87232102143183,0.6512767897856817,0.9998860009119928,Bear,Entertainment/public assembly,5511.6
Bear_assembly_Jose,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Entertainment/public assembly,3361.2
Bear_assembly_Roxy,17544,17065,2016-01-01,2017-12-31 23:00:00,17544.0,2.730278157774735,0.9726972184222527,0.9998860009119928,Bear,Entertainment/public assembly,1106.5
Bear_assembly_Ruby,17544,17504,2016-01-01,2017-12-31 23:00:00,17544.0,0.22799817601458772,0.9977200182398541,0.9998860009119928,Bear,Entertainment/public assembly,11538.3
Bear_education_Alfredo,17544,17490,2016-01-01,2017-12-31 23:00:00,17544.0,0.30779753761970285,0.996922024623803,0.9998860009119928,Bear,Education,609.8
Bear_education_Alvaro,17544,17481,2016-01-01,2017-12-31 23:00:00,17544.0,0.3590971272229848,0.9964090287277702,0.9998860009119928,Bear,Education,10181.1
Bear_education_Arnold,17544,17106,2016-01-01,2017-12-31 23:00:00,17544.0,2.496580027359785,0.9750341997264022,0.9998860009119928,Bear,Education,186.7
Bear_education_Augusta,17544,17476,2016-01-01,2017-12-31 23:00:00,17544.0,0.3875968992248069,0.9961240310077519,0.9998860009119928,Bear,Education,14017.9
Bear_education_Austin,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Education,2031.4
Bear_education_Babara,17544,17347,2016-01-01,2017-12-31 23:00:00,17544.0,1.122891016871863,0.9887710898312814,0.9998860009119928,Bear,Education,8749.1
Bear_education_Benita,17544,17139,2016-01-01,2017-12-31 23:00:00,17544.0,2.3084815321477437,0.9769151846785226,0.9998860009119928,Bear,Education,13142.2
Bear_education_Benjamin,17544,9431,2016-01-01,2017-12-31 23:00:00,17544.0,46.243730050159606,0.537562699498404,0.9998860009119928,Bear,Education,786.2
Bear_education_Bob,17544,17542,2016-01-01,2017-12-31 23:00:00,17544.0,0.01139990880072439,0.9998860009119928,0.9998860009119928,Bear,Education,28360.3
Bear_education_Bonita,17544,17336,2016-01-01,2017-12-31 23:00:00,17544.0,1.1855905152758806,0.9881440948472412,0.9998860009119928,Bear,Education,389.2
Bear_education_Bulah,17544,17503,2016-01-01,2017-12-31 23:00:00,17544.0,0.23369813041496101,0.9976630186958504,0.9998860009119928,Bear,Education,20504.0
Bear_education_Carlo,17544,11996,2016-01-01,2017-12-31 23:00:00,17544.0,31.623347013223892,0.6837665298677611,0.9998860009119928,Bear,Education,1314.6
Bear_education_Chad,17544,17519,2016-01-01,2017-12-31 23:00:00,17544.0,0.1424988600091215,0.9985750113999088,0.9998860009119928,Bear,Education,39101.5
Bear_education_Chana,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Education,3781.7
Bear_education_Chun,17544,17471,2016-01-01,2017-12-31 23:00:00,17544.0,0.41609667122662897,0.9958390332877337,0.9998860009119928,Bear,Education,4292.5
Bear_education_Clint,17544,17497,2016-01-01,2017-12-31 23:00:00,17544.0,0.2678978568171453,0.9973210214318285,0.9998860009119928,Bear,Education,3836.6
Bear_education_Curtis,17544,17467,2016-01-01,2017-12-31 23:00:00,17544.0,0.43889648882808885,0.9956110351117191,0.9998860009119928,Bear,Education,4104.6
Bear_education_Danna,17544,17541,2016-01-01,2017-12-31 23:00:00,17544.0,0.017099863201097687,0.999829001367989,0.9998860009119928,Bear,Education,9663.4
Bear_education_Darrell,17544,17542,2016-01-01,2017-12-31 23:00:00,17544.0,0.01139990880072439,0.9998860009119928,0.9998860009119928,Bear,Education,5234.4
Bear_education_Deborah,17544,9072,2016-01-01,2017-12-31 23:00:00,17544.0,48.29001367989056,0.5170998632010944,0.9998860009119928,Bear,Education,791.2
Bear_education_Deena,17544,16969,2016-01-01,2017-12-31 23:00:00,17544.0,3.277473780209761,0.9672252621979024,0.9998860009119928,Bear,Education,1716.3
Bear_education_Derek,17544,17475,2016-01-01,2017-12-31 23:00:00,17544.0,0.3932968536251691,0.9960670314637483,0.9998860009119928,Bear,Education,6331.0
Bear_education_Destiny,17544,15965,2016-01-01,2017-12-31 23:00:00,17544.0,9.000227998176014,0.9099977200182399,0.9998860009119928,Bear,Education,5157.6
Bear_education_Elise,17544,17542,2016-01-01,2017-12-31 23:00:00,17544.0,0.01139990880072439,0.9998860009119928,0.9998860009119928,Bear,Education,20664.8
Bear_education_Fannie,17544,17112,2016-01-01,2017-12-31 23:00:00,17544.0,2.4623803009575895,0.9753761969904241,0.9998860009119928,Bear,Education,10788.0
Bear_education_Gavin,17544,17533,2016-01-01,2017-12-31 23:00:00,17544.0,0.06269949840401745,0.9993730050159598,0.9998860009119928,Bear,Education,7158.6
Bear_education_Herb,17544,17503,2016-01-01,2017-12-31 23:00:00,17544.0,0.23369813041496101,0.9976630186958504,0.9998860009119928,Bear,Education,2212.5
Bear_education_Herman,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Education,371.6
Bear_education_Holly,17544,17387,2016-01-01,2017-12-31 23:00:00,17544.0,0.8948928408572754,0.9910510715914272,0.9998860009119928,Bear,Education,722.9
Bear_education_Irene,17544,17505,2016-01-01,2017-12-31 23:00:00,17544.0,0.22229822161422552,0.9977770177838577,0.9998860009119928,Bear,Education,2415.1
